Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
Adelaide,12.87,23.34,1.68,5.99,7.74,36.6,9.85,15.35,58.54,44.4,1018.77,1016.76,,,17.31,21.97
Albany,13.05,20.22,2.35,4.19,6.72,,12.42,19.2,74.79,67.12,1018.09,1016.32,5.22,4.62,16.31,18.58
Albury,9.58,22.88,1.64,,,33.19,8.27,14.32,73.6,47.35,1018.33,1015.74,6.33,5.28,14.53,21.62
AliceSprings,12.91,29.12,0.84,9.04,9.66,40.71,14.89,18.3,39.14,23.67,1016.91,1013.07,2.78,3.18,21.21,27.89
BadgerysCreek,11.15,24.16,2.42,,,33.87,7.95,14.08,77.17,52.03,1018.16,1015.33,,,16.64,22.64
Ballarat,7.52,18.37,2.08,,,45.76,20.21,22.95,81.97,59.51,1017.11,1015.62,5.71,6.29,11.76,16.81
Bendigo,8.74,22.04,1.77,4.07,,38.81,12.85,16.97,70.06,45.59,1017.95,1015.75,4.33,4.85,14.05,20.67
Brisbane,16.49,26.51,3.14,5.4,8.05,28.17,6.86,11.1,64.38,54.33,1018.15,1015.05,3.92,3.9,21.89,24.78
Cairns,21.25,29.57,6.01,6.11,7.56,37.96,15.83,21.87,69.74,61.6,1014.23,1011.18,4.51,4.43,25.85,27.93
Canberra,6.91,20.94,1.73,4.25,7.38,40.37,10.37,19.18,73.46,46.3,1018.91,1016.15,4.84,4.66,12.72,19.46
Cobar,12.82,25.46,1.19,6.55,8.04,37.01,14.73,15.37,55.78,34.42,1018.21,1015.54,3.3,3.86,17.77,24.13
CoffsHarbour,14.16,23.73,4.5,3.66,7.14,38.45,15.0,20.73,67.95,62.01,1018.17,1015.71,4.44,4.48,19.9,22.14
Dartmoor,8.71,19.69,2.4,3.41,6.43,39.11,10.83,17.92,84.98,62.52,1017.69,1016.3,,,12.68,18.15
Darwin,23.31,32.61,4.59,6.39,8.51,40.44,15.16,20.81,68.71,52.05,1011.84,1008.33,4.37,4.39,27.27,31.15
GoldCoast,17.36,25.76,3.33,,,42.28,19.09,25.78,65.77,62.72,1018.0,1015.29,,,22.42,23.79
Hobart,9.04,17.76,1.65,3.64,6.62,46.77,16.15,20.08,65.84,53.4,1014.58,1013.06,4.69,4.86,12.36,16.04
Katherine,20.64,34.97,3.58,7.12,,38.67,12.09,15.74,64.51,43.48,1012.68,1008.4,2.79,3.15,26.7,33.59
Launceston,7.88,18.81,2.08,5.64,,36.32,8.84,15.48,79.12,57.29,1015.26,1013.37,6.38,5.84,12.03,17.53
Melbourne,11.82,20.85,2.07,4.57,6.53,45.52,19.0,21.79,67.59,50.45,1017.68,1015.71,5.25,5.16,14.57,19.42
MelbourneAirport,9.85,20.35,1.44,4.49,6.39,46.85,20.25,22.67,70.16,51.66,1018.21,1016.36,5.22,5.28,14.0,18.8
Mildura,10.76,24.98,0.9,5.95,8.51,36.71,14.28,16.49,64.04,35.7,1018.71,1016.28,3.28,3.83,15.64,23.5
Moree,12.63,26.81,1.32,7.51,8.92,39.73,18.04,16.9,61.29,34.83,1018.27,1014.92,3.27,3.83,18.69,25.58
MountGambier,8.64,20.04,1.89,3.43,6.7,42.88,17.4,22.41,75.62,57.09,1017.87,1016.22,5.41,5.28,13.79,18.38
MountGinini,3.56,11.65,3.29,,,46.44,15.75,15.25,76.02,69.66,,,,,6.78,10.09
Newcastle,13.82,23.99,2.78,,,,5.83,10.48,74.11,58.38,,,4.25,4.45,18.12,22.0
Nhil,9.02,22.45,0.94,,,42.55,16.79,20.56,72.07,44.51,1018.67,1016.47,,,13.53,20.92
NorahHead,15.28,22.42,3.0,,,41.95,14.07,20.78,74.65,67.15,1018.54,1016.33,,,18.37,20.63
NorfolkIsland,16.92,21.84,3.24,4.69,7.09,43.2,20.44,22.06,70.7,68.04,1017.49,1015.78,4.89,4.83,19.86,20.49
Nuriootpa,9.3,21.69,1.37,5.04,7.77,40.63,14.04,18.25,66.88,45.18,1019.04,1016.86,4.59,4.76,14.81,20.34
PearceRAAF,12.11,26.07,1.72,,8.82,43.01,15.9,20.33,60.51,41.66,1017.61,1015.12,3.85,4.0,18.78,24.53
Penrith,12.42,24.71,2.11,,,31.61,6.2,11.89,76.28,49.28,,,,,16.87,23.32
Perth,12.99,25.09,1.74,5.74,8.91,35.08,10.7,14.76,62.1,47.05,1017.68,1015.37,3.33,3.37,18.75,23.49
PerthAirport,12.69,25.84,1.42,5.81,9.0,43.51,17.22,21.07,58.28,41.19,1017.94,1015.36,3.27,3.25,18.93,24.39
Portland,9.36,17.81,2.52,3.34,6.32,42.23,16.22,20.64,78.97,66.71,1017.43,1016.4,6.31,6.09,13.02,16.32
Richmond,11.46,24.46,2.19,5.17,,34.91,7.37,14.86,76.76,49.68,1018.4,1015.41,6.3,5.4,16.68,23.12
Sale,8.57,20.26,1.52,3.93,6.66,43.27,14.56,22.47,78.97,56.67,1017.86,1015.93,5.34,5.09,13.39,18.78
SalmonGums,9.27,24.06,1.02,,,39.79,16.02,17.22,63.45,41.21,,,,,16.99,22.48
Sydney,14.92,23.05,3.45,5.31,7.18,41.65,14.89,19.18,68.06,55.04,1018.23,1015.95,4.12,4.28,17.88,21.52
SydneyAirport,14.98,23.44,3.29,5.28,7.36,47.66,18.64,25.79,64.87,54.14,1018.21,1015.93,4.13,4.2,18.62,21.8
Townsville,20.42,29.31,3.85,7.23,8.34,38.75,14.97,24.17,64.53,57.89,1015.14,1011.89,4.41,4.07,25.62,27.73
Tuggeranong,7.1,20.53,2.4,,,34.96,7.56,14.54,72.91,47.47,1018.56,1015.78,,,12.37,19.22
Uluru,14.69,30.65,0.65,,,41.04,18.03,17.04,42.39,23.36,1017.1,1013.32,5.46,4.79,21.26,29.33
WaggaWagga,9.62,23.03,1.44,5.28,8.26,36.51,13.19,15.91,67.09,42.35,1018.45,1015.82,3.87,4.18,14.96,21.8
Walpole,11.91,20.56,2.9,,,39.34,13.37,16.95,76.05,66.48,1018.13,1016.43,,,16.02,18.65
Watsonia,10.22,20.86,2.04,4.68,6.32,38.71,10.27,15.48,77.85,55.02,1017.62,1015.81,5.18,5.33,13.8,19.27
Williamtown,12.74,24.1,3.51,7.43,7.25,41.74,16.48,22.54,70.99,52.92,1018.39,1015.85,4.54,4.31,18.15,22.61
Witchcliffe,10.5,21.7,2.75,,,39.91,13.83,19.08,71.11,57.59,1018.7,1016.88,,,16.51,19.86
Wollongong,15.22,21.64,3.75,,,45.86,16.73,22.09,68.5,66.04,1017.84,1015.78,6.13,5.81,18.42,20.07
Woomera,13.44,26.7,0.4,10.35,9.19,44.3,20.37,20.62,52.94,28.24,1018.64,1015.91,2.45,2.77,18.0,25.31
